"artists"                                                                          ,"explicit","genre"                               ,"lyric"                                                                                                                                     ,"musixmatch_rating","rank","title"
"MALUMA"                                                                           ,""        ,""                                    ,""                                                                                                                                          ,""                 ,1     ,"HAWAI"
"SECH, DADDY YANKEE, J BALVIN FEATURING ROSALIA, FARRUKO"                          ,1.0       ,""                                    ,"Ahora todo cambió, le toca a ella
Latino gang

Ayer la vi perreando solita (Welcome to the remix)
Se ve má' bonita
Ahora que no está con ese man
Que la felicidad como ropa se la quita

Que yo siempre estaba cuando tú no estaba'
Fue tanto dolor que ya no me mataba
Poco a poco, ya no te necesitaba
Y yo sonreía mientra' lo enrolaba

Y tú (Uh-uh-uh)
Diciendo que fue falta de actitud
Pero en esta relación hice más que tú, yeh (Yeh-eh)
Y en un estado te manda a decir que (¡Da-ddy Yan-kee!)

Ahora todo cambió, le toca a ella (Prr)
Mari y una botella (¿Qué, qué?)
Gracia' al maltrato se puso bella (What?)
Ahora tú la quiere' y no te quiere ella

Ahora todo cambió, le toca a ella
Party y una botella
Gracia' al maltrato se puso bella (D-D-D-D.Y)
Ahora tú la quiere' y no te quiere ella (One; yeah; huh)

Ahora quiere que la grabe (Prr)
Vacilando y que se la enseñen a él (Dile)
Ya no le gusta seguir patrone', ella e' la patrona (Ey)
Se te fue la princecita, búscate a Fiona, porque

To' los fine' de semana está de party en party (Wuh)
Sigue matando las gana' con botella y mari
Te dejaron un estado ahí, ahí, ahí
Dice ""me sigue tirando y no caí ahí, ahí"" (¿Qué, qué?)

...


 "                                                                                    ,90.0               ,2     ,"RELACION"
"J BALVIN, DUA LIPA, BAD BUNNY & TAINY"                                            ,""        ,""                                    ,""                                                                                                                                          ,""                 ,3     ,"UN DIA (ONE DAY)"
"OZUNA"                                                                            ,0.0       ,"Latin / Pop in Spanish"              ,"Woh-oh-oh-oh (Dime, ma')
Baby, baby
Ozuna

Aunque no pueda tengo la curiosidad (Curiosidad)
Aunque no pretendo quedarme me da un poco de ansiedad (Oh-oh)
Y e' que en la vida todo se puede, esté bien o esté mal (Esté mal)
Pero podré vivir con la culpa de que al menos una vez más (Baby)

Te volví a probar, tu boca no pierde el sabor a caramelo, oh (Oh-oh)
Nos dejamos llevar, tú ere' mi bandolera y yo soy tu bandolero, oh
Te volví a probar, tu boca no pierde el sabor a caramelo, oh (Oh-oh)
Nos dejamos llevar, tú ere' mi bandolera y yo soy tu bandolero, oh

Esa boquita tan dulce sabor a caramelo
Ella e' un ángel pero si la tienta' e' caliente, fuego
Siempre en alta, no necesita vuelo
A nadie le cuenta cómo e' que la consuelo (Oh-oh, eh)
Ella e' muy atractiva, prende de la sativa
Siempre provocativa, soltera vive la vida (Woh, yeah)
En traje 'e baño e' que se ve bien explosiva (Explosiva)
To' los domingo' sport con to'a la combi Adida'

Dale ven, ven mátame
...


 "                                                                        ,79.0               ,4     ,"CARAMELO"
"NIO GARCIA X ANUEL AA X MYKE TOWERS X BRRAY X JUANKA"                             ,""        ,""                                    ,""                                                                                                                                          ,""                 ,5     ,"LA JEEPETA"
"KAROL G"                                                                          ,0.0       ,""                                    ,"Ovy On The Drums
Ya no te estaba buscando, babe
Pero cuando coincidimos, bebé
Fue una cosa que yo no sé
Tú fuiste conquistándome
Y en tus ojos yo lo noté
Que tú querías y yo también
Entre botellas de Rosé
Nos fuimos calentando

Tu man me escribió, oh, y me dijo a mí (mí)
Que le gustaban toda' mis canciones (eh-eh)
Y yo le dije: ""¡ay, Dios mío!, ¡qué rico, Dios mío!""
Luego, me dijo, oh, que le gusté yo (yo)
Que conmigo quiere tener relaciones, eh
Y yo le dije: ""¡ay, Dios mío!, ¡qué rico, Dios mío!""

¡Ay, Dios mío!, ¡qué rico, Dios mío! (mmh)
¡Ay, Dios mío!, ¡qué rico, Dios mío! (yeh)
¡Ay, Dios mío!, ¡qué rico! (¡qué rico!)
¡Ay, Dios mío!, ¡qué rico! (¡qué rico!)
...


 "                                                                                      ,80.0               ,6     ,"AY, DIOS MIO!"
"BLACK EYED PEAS X J BALVIN"                                                       ,1.0       ,"Latin / Pop in Spanish"              ,"This is the rhythm, rhythm, rhythm, rhythm
This is the rhythm, rhythm, rhythm, rhythm, rhythm, rhythm
This is the rhythm, rhythm, rhythm, rhythm, rhythm of the night

Toda la noche rompemo' (Of the night)
Al otro día volvemo' (Oh, yeah)
Tú sabes cόmo lo hacemo', baby
(This is the rhythm of the night)

Baby, tonight's like fuego (Of the night)
We 'bout to spend a dinero (Oh, yeah)
We party to the extremo, baby
(This is the rhythm of the night)

Toda la noche rompemo' (Of the night)
Al otro día volvemo' (Oh, yeah)
Tú sabes cόmo lo hacemo', baby
(This is the rhythm of the night)

Baby, tonight's like fuego (Of the night)
We 'bout to spend a dinero (Oh, yeah)
We party to the extremo, extremo, extremo, extremo, extremo
Ritmo

No son ni Reebook ni son Nike (No)
Sin estilista luzco fly (Yes)
La Rosalía me dice que luzco guay (La Rosalía)
No te lo niego porque yo sé lo que hay (Wuh)

Lo que se ve, no se pregunta (Na')
Soy próspero y tengo claro que e' mi culp (Es mi culpa, culpa, ah)
Como Canelo en el ring, nada me asusta
Vivo en mi base y la paz no me la tumban (Wuh)
...


 "                                                                          ,82.0               ,8     ,"RITMO (BAD BOYS FOR LIFE)"
"TAINY X J BALVIN"                                                                 ,0.0       ,"Music"                               ,"(SpongeBob SquarePants)
(SpongeBob SquarePants)
(SpongeBob SquarePants)
(SpongeBob SquarePants)

Esto, esto, hey, esto e' un party por debajo 'el agua (J Balvin, man)
Baby, busca tu paragua'
'Tamo' bailando como pez en el agua, ey (Tainy, Tainy)
Hey, como pez en el agua, agua

No existe la noche ni el día
Aquí la fiesta mantenla encendía (-día)
Siempre que pasa me guiña, hey
Dulce como piña (yeah, uh)

Esto e' un party por debajo 'el agua (uh)
Baby, busca tu paragua'
'Tamo' bailando como pez en el agua, hey
Como pez en el agua

Eso e' así, debajo 'el sol (hey)
Vamo' pa'l agua que hace calor (uh)
Dice que me vio en el televisor
Dizque me reconoció, mmm, no fue un error, hey (yeah)
...


 "                                                                       ,80.0               ,9     ,"AGUA"
"OZUNA, DOJA CAT & SIA"                                                            ,1.0       ,""                                    ,"Ah-ah-ah-oh-oh-oh
Ah-ah-ah-oh-oh
Yeah-eh
Ah-ah-ah-ya-ya-yo
Ozuna
Ah-ah-ah

Se pierde en la arena y el mar, ah-ah-ah (ah-ah)
¿'Taré soñando yo?
Se ve tan tropical (tan tropical)
El sol está que quema y quiero má' (quiero má')
Le dije: ""Baby, ¿qué pasó?"" (Woh-oh-oh)
Pa'l agua que hace calor

Se pierde en la arena y el mar, yeah-ah-ah
¿'Taré soñando yo?
Se ve tan tropical (tan tropical)
El sol está qué quema, quiero más (quiero más)
Le dije: ""Baby, ¿qué pasó?""
Pa'l agua que hace calor, eh-eh-еh

Gimmе more, gimme more (gimme more)
Tell me you want this waistline
Dímelo, dímelo (dímelo)
Kiss my skin, I won't tell lies
Lucky son of a gun
I give you a no stress life
Vacation, live our best life
Whenever you want

...


 "                                                                                            ,81.0               ,10    ,"DEL MAR"
"BLACK EYED PEAS, OZUNA + J.REY SOUL"                                              ,1.0       ,""                                    ,"Baby, ven conmigo (ven conmigo)
Baila (baila)
La música es testigo, ya la veo
Mamacita
Louis Vuitton es su vestido (su vestido)
Diamantes
Le gusta cuando al oído yo le digo, eh, eh

Mamacita, mamacita
Qué bonita, mamacita

Eh oh, eh eh

Eh oh, eh eh

Mamacita, mamacita
Qué bonita, mamacita

Ella no le baja, nunca tumba (nunca tumba)
Siempre está lista pa' la rumba (pa' la rumba)
Dos amigas, que le secundan (oh oh)
Salen y gastan la funda
Le gusta sudar el alcohol (sudar el)
Sola, la pasa mejor (pasa)
Vestida de Christian Dior
Siempre llega cuando sale el sol

Dame lo que yo sé-eh
Una botella 'e Rosé-eh
Que la shorty tiene sed-eh
Ese booty mami la rompe

Ella tiene algo que hace que a mí me guste
Ella tiene algo que hace que a mí me guste

I'ma put you in the mix, put you in the mix
Put you in the, put you in the, put you in the mix, ay

...


 "                                                                                      ,26.0               ,11    ,"MAMACITA"
